Name,Job,House,Wand,Patronus,Species,Blood status,Loyalty,Skills
Remus John Lupin,Professor of Defence Against the Dark Arts ,Gryffindor,"10¼"" Cypress unicorn hair",Wolf,Werewolf,Half-blood,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts
Peter Pettigrew,The Servant of Voldemort,Gryffindor,"9¼"" Chestnut dragon heartstring",None,Human,Half-blood or pure-blood,Voldemort| Death Eaters,Animagus
Percy Ignatius Weasley,Student|Prefect|  Personal assistant to Barty Crouch Snr,Gryffindor,Unknown,Unknown,Human,Pure-blood,Order of the Phoenix| Hogwarts |Ministry of Magic,Intelligent| hard-working| a model student
(Bill) William Arthur Weasley,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Order of the Phoenix,Highly skilled curse-breaker for Gringotts| very intelligent| past Hogwarts Head Boy
Charles Weasley,Dragonologist,Gryffindor,"12""  Ash unicorn tail hair",Unknown,Human,Pure-blood,Order of the Phoenix | Gringotts,Highly skilled dragon trainer| one-time Gryffindor Seeker
Lee Jordan ,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA | Order of the Phoenix | Hogwarts,Quidditch commentary | broadcasting
Oliver Wood,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,Hogwarts,Keeper|  Captain of the Gryffindor Quidditch team
Angelina Johnson,Student,Gryffindor,Unknown,Unknown,Human,Unknown,DA |Hogwarts,Chaser
Katie Bell,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,Chaser
Alicia Spinnet,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,Chaser
Lavender Brown,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,DA |Hogwarts,Divination
Parvati Patil,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,Divination
Romilda Vane,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,Spiking Chocolate Cauldrons with love potion
Colin Creevey,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,DA |Hogwarts,Photography
Cormac McLaggen,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,Quidditch Keeper
Minerva McGonagall,Professor of Transfiguration | Head of Gryffindor,Gryffindor,"9½"" Fir dragon heartstring",Cat,Human,Half-blood,Dumbledore | Order of the Phoenix | Hogwarts,Animagus 
Molly Weasley,-,Gryffindor,Unknown,Unknown,Human,Pure-blood,Order of the Phoenix,Household spells| healing magic
Arthur Weasley,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Unknown,Weasel,Human,Pure-blood,Order of the Phoenix| Ministry of Magic,Muggle world works
Quirinus Quirrell,Defence Against the Dark Arts(1991-1992),Ravenclaw,"9"" Alder unicorn hair bendy",Non-corporeal,Human,Half-blood,Voldemort,Learned in the theory of Defensive Magic| less adept in the practise
Cho Chang,Student,Ravenclaw,Unknown,Swan,Human,Pure-blood or half-blood,DA |Hogwarts,Seeker
Luna Lovegood,Student,Ravenclaw,Unknown,Hare,Human,Pure-blood or half-blood,DA |Hogwarts,Spotting Nargles
Gilderoy Lockhart,Defence Against the Dark Arts(1992-1993),Ravenclaw,"9"" Cherry dragon heartstring",Non-corporeal,Human,Half-blood,-,-
Filius Flitwick,Professor of Charms | Head of Ravenclaw,Ravenclaw,Unknown,Non-corporeal,Human(goblin ancestry),Part-Goblin,-,Charms
Sybill Patricia Trelawney,Professor of Divination,Ravenclaw,9 ½” hazel unicorn hair core,Non-corporeal,Human,Half-blood,-,"A Seer, though the gift is unpredictable and unconscious"
Garrick Ollivander,Wandmaker,Ravenclaw,"12¾"" Hornbeam dragon heartstring",Non-corporeal,Human,Half-blood,-,An incomparable understanding of wandcraft
Myrtle Elizabeth Warren (Moaning Myrtle),Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,-,-
Padma Patil,Student,Ravenclaw,Unknown,Non-corporeal,Human,Pure-blood or half-blood,DA |Hogwarts,Prefect
Michael Corner,Student,Ravenclaw,Unknown,Squirrel,Human,Half-blood,DA |Hogwarts,Potions
Marietta Edgecombe,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,-,Covering up the spots that blight her face after betraying DA
Terry Boot,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,DA |Hogwarts,"Potions, also knowledgable about Charms"
Anthony Goldstein,Student,Ravenclaw,Unknown,Non-corporeal,Human,Half-blood,DA |Hogwarts,Prefect
Severus Snape,Professor of Potions | Head of Slytherin,Slytherin,Unknown,Doe,Human,Half-blood,-,Extremely skilled at potions and Occlumency
Draco Malfoy,Student,Slytherin,"10"" Hawthorn unicorn hair",Unknown,Human,Pure-blood,-,"Prefect, Seeker"
Vincent Crabbe,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,-,Beater
Gregory Goyle,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,-,Beater
Bellatrix Lestrange,-,Slytherin,"12¾"" Walnut dragon heartstring",-,Human,Pure-blood,Voldemort,She is a duellist of great skill and an experienced Occlumens
Dolores Jane Umbridge,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,"8"" Birch dragon heartstring",Cat,Human,Half-blood,Ministry of Magic,Her punishment quill is of her own invention
Horace Eugene Flaccus Slughorn,Professor of Potions,Slytherin,"10¼"" Cedar dragon heartstring fairly flexible",Non-corporeal,Human,Pure-blood or half-blood,-,"Accomplished Occlumens, expert Potioneer, advanced self-transfiguration"
Lucius Malfoy,School Governor,Slytherin,Elm and dragon heartstring,Unknown,Human,Pure-blood,Voldemort,Skilled duellist and potioneer
Narcissa Malfoy,-,Slytherin,Unknown,Unknown,Human,Pure-blood,Voldemort,-
Regulus Arcturus Black,-,Slytherin,Unknown,Non-corporeal,Human,Pure-blood,-,Seeker
Pansy Parkinson,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,-,Prefect
Blaise Zabini,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,-,Chaser
Tom Marvolo Riddle,Student,Slytherin,"13½"" Yew phoenix feather core",Unknown,Human,Half-blood,-,"Dark Lord, Outstanding manipulation, Parseltongue, Heir of Slytherin, Dark magic, Inferi creation and control"
Theodore Nott,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,-,-
Rodolphus Lestrange,-,Slytherin,Unknown,Unknown,Human,Pure-blood,Voldemort,-
Millicent Bulstrode,Student,Slytherin,Unknown,Unknown,Human,Half-blood,-,-
Graham Montague,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,-,"Quidditch captain, Chaser"
Bloody Baron,Slytherin House Ghost,Slytherin,Unknown,Unknown,Ghost,Pure-blood or half-blood,-,Controlling Peeves
Marcus Flint,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,-,"Chaser, Captain"
Penelope Clearwater,Student,Ravenclaw,Unknown,Non-corporeal,Human,Muggle-born or half-blood[,-,Prefect
Roger Davies,Student,Ravenclaw,Unknown,Unknown,Human,-,-,"Quidditch Captain, Chaser"
Marcus Belby,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,-,-
Salazar Slytherin,Founder of Slytherin,Slytherin,"snakewood, Basilisk horn",Unknown,Human,Pure-blood,-,Accomplished Legilimens and one of the first recorded Parselmouths
Godric Gryffindor,Founder of Gryffindor,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,-,The most accomplished duellist of his time
Rowena Ravenclaw,Founder of Ravenclaw,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,-,"Extremely skilled witch, known for her intelligence and wisdom"
Nicholas de Mimsy-Porpington,Gryffindor House Ghost,Gryffindor,Unknown,Unknown,Ghost,-,-,-
Cuthbert Binns,Professor of History of Magic ,-,Unknown,Unknown,Ghost,-,-,Boring a class with facts that might be interesting if anyone else was giving the lesson
Barty Crouch Jr.,Professor of Defence Against the Dark Arts (as Alastor Moody) ,-,Unknown,Unknown,Human,Pure-blood or half-blood,Voldemort,Skilled potioneer
Charity Burbage,Professor of Muggle Studies,-,Unknown,Non-corporeal,Human,Pure-blood or half-blood,-,Teaching and studying the Muggle world
Firenze,Professor of Divination,-,-,-,Centaur,-,-,-
Alecto Carrow,Professor of Muggle Studies,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Voldemort,Spreading anti-Muggle propaganda
Amycus Carrow,Professor of Dark Arts,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Voldemort,Cruciatus Curse
Helga Hufflepuff,Founder of Hufflepuff,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,-,Food-related Charms. Many traditional Hogwarts recipes originated with her
Fat Friar,Hufflepuff House Ghost,Hufflepuff,Unknown,Unknown,Ghost,-,-,Curing peasants of the pox
Helena Ravenclaw,Ravenclaw House Ghost,Ravenclaw,Unknown,Unknown,Ghost,Pure-blood or half-blood,-,-
Nymphadora Tonks,Auror,Hufflepuff,Unknown,"Jack rabbit, Wolf",Human,Half-blood,Ministry of Magic | Order of the Phoenix,"Talented Auror, Metamorphmagus"
Pomona Sprout,Professor of Herbology | Head of Hufflepuff House,Hufflepuff,Unknown,Non-corporeal,Human,Pure-blood or half-blood,-,Herbology
Newton Scamander,Employee in the Beast Division of the Department for the Regulation and Control of Magical Creatures,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,-,"Magizoology, Order of Merlin, Second Class"
Cedric Diggory,Student,Hufflepuff,"12¼"", Ash, unicorn hair",Unknown,Human,Pure-blood,-,Skilled Seeker
Justin Finch-Fletchley,Student,Hufflepuff,Unknown,Non-corporeal,Human,Muggle-born,DA,-
Zacharias Smith,Student,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,DA,Chaser
Hannah Abbott,Student,Hufflepuff,Unknown,Non-corporeal,Human,Half-blood,DA,"Defensive spells, learned with DA"
Ernest Macmillan,Student,Hufflepuff,Unknown,Boar,Human,Pure-blood,DA,"Revising, being a Prefect, getting the wrong end of the stick"
Susan Bones,Student,Hufflepuff,Unknown,Unknown,Human,Half-blood,DA,"Defensive spells, learned with DA"
Walden Macnair,Executioner for the Committee for the Disposal of Dangerous Creatures,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Voldemort,Liaising with giants
Augustus Rookwood,Unspeakable,Slytherin,Unknown,None,Human,Pure-blood or half-blood,Voldemort,Spying for Voldemort
Antonin Dolohov,Death Eater,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Voldemort,Duelling. Fought and killed Molly Weasley's brothers and Remus Lupin
Corban Yaxley,Head of the Department of Magical Law Enforcement,Slytherin,Unknown,None,Human,Pure-blood or Half-blood,Voldemort,"Imperius curse, undercover work"
Igor Karkaroff,Headmaster of Durmstrang Institute,-,Unknown,None,Human,Pure-blood or Half-blood,-,Skilled in the Dark Arts
Kingsley Shacklebolt,Auror  | Minister for Magic,-,Unknown,Lynx,Human,Pure-blood,Order of the Phoenix,Exceptionally skilled duellist and Auror
Alastor Moody,Auror,-,Unknown,Non-corporeal,Human,Pure-blood,Order of the Phoenix,"A highly accomplished Auror and an outstanding duellist, also skilled in non-verbal magic"
Alice Longbottom,Auror,-,Unknown,Unknown,Human,Pure-blood,OG Order of the Phoenix,Auror
Frank Longbottom,Auror,Gryffindor,"Inherited by his son, Neville. It was broken in battle at the Department of Mysteries.",Unknown,Human,Pure-blood,OG Order of the Phoenix,Auror
Rufus Scrimgeour,Head of Auror Office| Minister for Magic,-,Unknown,Non-corporeal,Human,-,Minister of Magic,Highly regarded as a skilled Auror
Cornelius Oswald Fudge,Minister for Magic,-,Unknown,Non-corporeal,Human,Pure-blood or Half-blood,Minister of Magic,Turning a blind eye to the continuing threat of Dark Magic in the name of keeping up morale
Barty Crouch Sr.,Head of the Department of International Magical Cooperation,-,Unknown,Non-corporeal,Human,Pure-blood,Minister of Magic,"Multilingual, able to fight the Imperius curse"
Amos Diggory,Employee of the Department for the Regulation and Control of Magical Creatures[,-,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Minister of Magic,Works for the Department for the Regulation and Control of Magical Creatures
Dedalus Diggle,-,-,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Order of the Phoenix,An enthusiastic volunteer for the Order and a helpful escort for Harry and his relatives
Elphias Doge,Special Advisor to the Wizengamot,-,Unknown,Non-corporeal,Human,Pure-blood,Order of the Phoenix,Writing
Fleur Isabelle Delacour,Part-time at Gringotts,-,"9½"", Rosewood, veela hair",Non-corporeal,Human,Quarter-Veela,Order of the Phoenix,"part Veela, and therefore possesses some of their magical powers. She was also selected to compete in the Triwizard Tournament"
Aberforth Dumbledore,Owner and Barman of the Hog's Head Inn,-,Unknown,Goat,Human,Half-blood,Order of the Phoenix,"Bartending, caring for Ariana"
Mundungus Fletcher,Dealer of wizarding artifacts,-,Unknown,Non-corporeal,Human,Half-blood[,Order of the Phoenix,"Gathering information for the Order, dealing in stolen cauldrons, 'acquiring' the odd Muggle car"
Sturgis Podmore,Advance Guard,-,Unknown,Unknown,Human,Pure-blood or half-blood,Order of the Phoenix,Carrying out guard duty for the Order
Hestia Jones,Advance Guard,-,Unknown,Unknown,Human,Pure-blood or half-blood,Order of the Phoenix,Carrying out escort missions for the Order
Marlene McKinnon,-,-,Unknown,Unknown,Human,-,OG Order of the Phoenix,-
Fabian Prewett,-,-,Unknown,Unknown,Human,Pure-blood,OG Order of the Phoenix,Duelling
Gideon Prewett,-,-,Unknown,Unknown,Human,Pure-blood,OG Order of the Phoenix,Duelling
Emmeline Vance,Advance Guard,-,Unknown,Unknown,Human,-,Order of the Phoenix,-
Edgar Bones,-,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,OG Order of the Phoenix,Said to be a great wizard
Dorcas Meadowes,-,-,Unknown,Unknown,Human,-,OG Order of the Phoenix,-
Benjy Fenwick,-,-,Unknown,Unknown,Human,-,OG Order of the Phoenix,-
Madame Olympe Maxime,Headmistress of Beauxbatons Academy of Magic,Beauxbatons,Unknown,Unknown,Half-Human/Half-Giant,Part-Human (Half-giant),-,"An ‘excellent dancer’, in the words of Dumbledore himself"
Gabrielle Delacour,-,Beauxbatons,Unknown,Unknown,Human ,Quarter-Veela,-,part Veela and therefore may possess some of their magical powers
Viktor Krum,Seeker for the Bulgarian National Quidditch team,Durmstrang,"10¼"", Hornbeam, dragon heartstring",Unknown,Human ,Pure-blood or half-blood,-,One of the best Seekers in the world
Petunia Dursley,-,-,-,-,Human ,Muggle,-,-
Vernon Dursley,Director at Grunnings,-,-,-,Human ,Muggle,-,"Schmoozing clients, pretending magic doesn't exist"
Dudley Dursley,-,-,-,-,Human ,Muggle,-,-
Marge Dursley,Dog breeder,-,-,-,Human ,Muggle,-,Breeding bulldogs
Dennis Creevey,Student,Gryffindor,Unknown,Unknown,Human ,Muggle-born,DA,-
Albus Severus Potter,Student,Slytherin,Unknown,Unknown,Human ,Half-blood,-,-
Scorpius Hyperion Malfoy,Student,Slytherin,Unknown,Unknown,Human ,Pure-blood,-,-
Edward Remus Lupin,Student,Hufflepuff,Unknown,Unknown,Human (Metamorphmagus),Half-blood,-,-
James Sirius Potter,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,-,-
Rose Granger-Weasley,Student,Gryffindor,Unknown,Unknown,Human ,Half-blood,-,Chaser
Argus Filch,Caretaker of Hogwarts,-,-,-,Human ,Squib,Hogwarts,Sniffing out mischief
Poppy Pomfrey,Matron at Hogwarts School,-,Unknown,Non-corporeal,Human ,Pure-blood or half-blood,Hogwarts,Skilled medical healer
Rolanda Hooch,Flying Instructor at Hogwarts,-,Unknown,Non-corporeal,Human ,-,Hogwarts,"Teaching, flying, refereeing Quidditch matches"
Irma Pince,Librarian at Hogwarts,-,Unknown,Non-corporeal,Human ,-,Hogwarts,-
Aurora Sinistra,Astronomer at Hogwarts,-,Unknown,Unknown,Human ,Pure-blood or half-blood,Hogwarts,-
Septima Vector,Professor of Arithmancyat Hogwarts,-,Unknown,Unknown,Human ,-,Hogwarts,-
Wilhelmina Grubbly-Plank,Substitute professor of Care of Magical Creatures at Hogwarts,-,Unknown,Non-corporeal,Human ,-,Hogwarts,-
Fenrir Greyback,-,-,Unknown,None,Werewolf,-,Voldemort,Physical combat
Gellert Grindelwald,Revolutionary leader(c. 1920s[6] – 1945),-,"15"", Elder, Thestral tail hair core",-,Human ,Pure-blood or half-blood,Gellert Grindelwald's Acolytes,Duelling
Dobby,"Malfoy family's house-elf (? - 1993),
Hogwarts kitchens worker (December 1994 - 1998)",-,,-,House elf,-,-,"A type of magic specific to house-elves, performed without a wand which includes the ability to apparate, disarm and make objects levitate"
Kreacher,"
Black family's house-elf (?-1996), 
Harry Potter's house-elf, 
Hogwarts kitchen worker ",-,-,-,House elf,-,-,"Magic performed without a wand which includes the ability to apparate, disarm and make objects levitate"
